fecha_inflacion,valor_mensual,valor_anual
2007-06-30,0.04,0.88
2007-05-31,0.04,0.88
2021-07-31,0.3,5.18
2020-05-31,0.15,4.34
2017-12-31,0.31,2.48
2016-01-31,0.41,2.2
2007-11-30,0.09,0.85
2005-06-30,0.09,0.9
2019-05-31,0.31,5.73
2010-11-30,0.07,1.1
2008-07-31,0.04,0.91
2022-06-30,0.53,6.4
2020-12-31,0.4,3.61
2022-12-31,0.51,9.48
2022-07-31,0.74,7.1
2008-05-31,0.06,0.91
2005-10-31,0.08,1.07
2001-08-31,-0.04,-0.12
2000-08-31,-0.02,-0.07
2022-05-31,0.51,6.07
2002-08-31,0.23,3.65
2024-09-30,0.35,20.9
2023-06-30,0.6,11.56
2018-11-30,0.32,4.85
2017-09-30,0.19,2.38
2006-02-28,0.04,1.15
2011-04-30,0.08,0.97
2004-12-31,0.08,0.61
2003-02-28,0.06,3.61
2018-01-31,0.18,2.5
2016-06-30,0.31,3.58
2023-01-31,0.6,9.88
2021-11-30,0.25,5.12
2010-01-31,0.1,0.82
2001-09-30,-0.01,-0.11
2021-01-31,0.4,3.85
2015-04-30,0.11,1.56
2002-09-30,0.14,3.85
2011-06-30,0.07,0.97
2011-02-28,0.07,1.0
2023-07-31,0.63,11.34
2021-10-31,0.35,5.21
2018-07-31,0.31,3.12
2015-05-31,0.1,1.52
2010-05-31,0.07,1.07
2004-10-31,0.04,0.57
2009-03-31,0.06,0.63
2004-07-31,0.05,0.49
2020-06-30,0.22,4.28
2006-08-31,0.06,1.07
2004-01-31,0.04,0.27
2016-02-29,0.27,2.42
2006-04-30,0.1,1.16
2000-05-31,-0.04,-0.1
2015-09-30,0.12,1.44
2012-01-31,0.09,0.97
2013-12-31,0.14,1.09
2014-12-31,0.1,2.37
2013-08-31,0.08,1.05
2001-04-30,0.07,-0.02
2002-05-31,0.4,2.3
2020-10-31,0.38,3.72
2013-04-30,0.07,1.05
2024-02-29,1.32,27.62
2024-01-31,2.06,25.42
2004-08-31,0.03,0.53
2009-11-30,0.08,0.71
2005-03-31,0.15,0.92
2019-07-31,0.22,5.44
2010-10-31,0.08,1.11
2007-04-30,0.07,0.89
2013-02-28,0.05,1.08
2000-12-31,-0.01,-0.07
2012-08-31,0.09,1.0
2017-11-30,0.14,2.24
2017-01-31,0.13,2.99
2010-04-30,0.08,1.02
2008-08-31,0.05,0.9
2004-05-31,0.07,0.42
2013-11-30,0.09,1.05
2012-05-31,0.08,0.99
2010-02-28,0.12,0.91
2000-07-31,0.04,-0.09
2020-03-31,0.33,4.84
2017-02-28,0.25,2.91
2013-10-31,0.09,1.05
2012-12-31,0.1,1.08
2007-10-31,0.07,0.84
2006-10-31,0.09,1.05
2000-03-31,-0.05,-0.11
2002-04-30,1.04,1.84
2024-06-30,0.46,27.15
2006-06-30,0.05,1.1
2022-04-30,0.6,5.8
2005-08-31,0.04,0.97
2003-11-30,0.02,0.36
2016-11-30,0.16,3.67
2021-03-31,0.48,4.26
2012-07-31,0.08,0.99
2002-11-30,0.05,4.06
2016-04-30,0.34,2.9
2011-12-31,0.08,0.95
2011-01-31,0.07,1.06
2014-03-31,0.26,1.91
2008-12-31,0.03,0.72
2004-11-30,0.0,0.54
2014-11-30,0.11,2.42
2007-01-31,0.11,0.97
2011-11-30,0.06,0.95
2015-07-31,0.13,1.48
2005-11-30,0.12,1.2
2004-04-30,0.09,0.31
2017-03-31,0.24,2.83
2022-09-30,0.62,8.3
2000-06-30,-0.02,-0.11
2014-10-31,0.12,2.4
2020-08-31,0.27,4.07
2016-10-31,0.24,3.71
2007-07-31,0.05,0.86
2001-02-28,-0.02,-0.17
2024-03-31,1.1,28.79
2015-08-31,0.12,1.46
2005-12-31,0.11,1.23
